source_irn,source_sku,source_invoice_link
IRNuhxgnhSzUqeKFsKg,S45FEA2FF2QPB885F05A,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRNxgsjWu5AinN0owuT,S2D462H88CF47994649F,https://udaan.azureedge.net/document-receipt/6wl0gnwjnuaxvzdchajp.jpg
IRNX0lsQwjvU31LmVNW,S9L883131589MS818943,https://udaan.azureedge.net/document-receipt/61fqnzlojmwz5zw4d65v.jpg
IRNNeMKzkK1xE6bsUxq,SBBQ39CE624085EFTA62,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNq85X3KAPalKB6Pq4,S72YEBFE213F2YBBACF1,https://udaan.azureedge.net/document-receipt/q1fd99y6mulqyz02jx0p.jpg
IRNSBywSsmHBpnpPR3V,S66P78EB49BFK8N95B54,https://udaan.azureedge.net/document-receipt/ct28snaep5rvh9kiz5jf.jpg
IRNcqPWflqvVa32e4TD,SDE78EAF8Y480FF55CXC,https://udaan.azureedge.net/document-receipt/f8xebc30rk74tmy9hu7d.jpg
IRNNeMKzkK1xE6bsUxq,S952QF0FD0FK048D9B76,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNm41zN33LTJQwiJab,S3F8FFA2B6BBB92A835B,https://udaan.azureedge.net/document-receipt/hb71083cqx5x3fps71g3.jpg
IRNlKMf8Yc5tbRlPooG,S2WCE05602582BFCC534,https://udaan.azureedge.net/document-receipt/eq81azoe3gogy50fe0af.jpeg
IRNOOhtnKe1eqqWKjhN,S5A88E1PBD7Q36F58EVK,https://udaan.azureedge.net/document-receipt/servai6b5dx13vllw14u.jpeg
IRNHIgF91cBHxUPpbzx,S47CF93BC8QF1Z6EB3Z8,https://udaan.azureedge.net/document-receipt/qamiquclkzr8wv1tqum5.jpg
IRNRmKEG04BLbPBySPL,S9L883131589MS818943,https://udaan.azureedge.net/document-receipt/16dmplg71bj0ab2ntu1r.jpg
IRNNeMKzkK1xE6bsUxq,SF0F0280E8644AA74B2C,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNVXKgnHzjnnwBvCSb,S9D26985079C79942A78,https://udaan.azureedge.net/document-receipt/v5a04be2jaboxty6yntn.jpg
IRNE2Um2oCY2TtI8xVg,S964B4AXYDD4H806420V,https://udaan.azureedge.net/document-receipt/7nayit44t0luele3toa9.jpg
IRNE2Um2oCY2TtI8xVg,SFFC5B6D7H1495CD0BC0,https://udaan.azureedge.net/document-receipt/7nayit44t0luele3toa9.jpg
IRNLfhR5cTCMERZBLCz,SFXBFCD99F604CB63D8E,https://udaan.azureedge.net/document-receipt/m7v2a8in51ptxmy9qx6j.jpeg
IRNwMUlyE5HOl2EcXsM,SBD894B270F8C5A93M0B,https://udaan.azureedge.net/document-receipt/vyc62uge94txhtbyodv8.jpg
IRNwNReSW455KBdIQLq,S9QBFBD31443PFPE50EX,https://udaan.azureedge.net/document-receipt/9sk3ubzm7qnh0pgdy0vr.jpg
IRNCbHoV2jzhI7Szznd,S29396BEEC97BEF8866F,https://udaan.azureedge.net/document-receipt/p2pnrfogneg1515uif92.jpg
IRNEVyG03sM4RkzaxqZ,S7KF0D2ABAN80PBCA6BC,https://udaan.azureedge.net/document-receipt/otr38slizarkoai8d5jc.jpg
IRNWKcjY6sGQOC0QWyC,SQ1GCD1D2C9DD0BGBQE5,https://udaan.azureedge.net/document-receipt/lvhjtd6fqltsu0lqlggo.jpg
IRNAIFl6A3VDwNQcrcG,SQ1GCD1D2C9DD0BGBQE5,https://udaan.azureedge.net/document-receipt/fsvi6y621l4dm6vtstzx.jpg
IRNcCcLcwkPbYgNGQ4m,SC519F8DN12921X667DV,https://udaan.azureedge.net/document-receipt/3ocbemtkfjbyi3x96dn5.jpeg
IRNbRV9OapQJO2uTPgM,S0209C4B241B23L4DF2C,https://udaan.azureedge.net/document-receipt/2fx8ojkoka3293pfec03.jpg
